transcript_ID	yHG010_Total	yHG010_Supernatant	yHG010_Pellet	yHG005_Total	yHG005_Supernatant	yHG005_Pellet	yHG006_Total	yHG006_Supernatant	yHG006_Pellet	yHG007_Total	yHG007_Supernatant	yHG007_Pellet	yHG008_Total	yHG008_Supernatant	yHG008_Pellet	yHG026_Total	yHG026_Supernatant	yHG026_Pellet	yHG027_Total	yHG027_Supernatant	yHG027_Pellet
YAL043C	2373	2301.645653110696	2805.27137632831	3081	3754.1814077212475	4443.087530368939	3519	1497.249714085483	5217.473639029777	2909	3695.76505621057	3716.577284085797	3198	3506.1668752618134	4544.455611021258	3201	3854.908974530408	3893.355887099169	3531	1726.16315565072	5815.2389699884225
YAL040C	6327	5936.884461200098	1687.7242426690646	7763	9233.647724254057	2076.2889805377927	8506	5183.1437296269	2141.4326588017866	7957	14768.686807025224	2238.313899046043	9065	11398.469012774527	3029.637074014172	8443	9719.8990901059	1827.9780689429026	10691	7175.447558911983	3319.692710019881
YAL035W	17966	26103.38435392629	11973.719289206201	22566	21296.184391168412	13893.192931499798	26892	13698.213910926133	18810.126702102134	24363	35378.37127945665	15598.467888367595	25661	33070.089210102335	16907.82306457404	27173	36911.57969766646	22940.72909898474	29901	17421.140902552288	21042.69253775943
YAL034C	2330	2393.6610598341795	3177.7870875480585	2070	1989.137838301598	3195.6052622268908	2381	1297.4399864434963	3865.467426481191	2105	3349.0063513740897	2559.0691618376877	2515	2726.257198942825	3496.3235929911025	2041	2275.9887359366985	2714.270466006128	2230	1112.855902640149	2603.3785057696514
YAL033W	176	141.1743226442486	266.0826508712489	247	246.98561892902944	435.76435394003056	363	152.83459299767856	671.4661726751365	275	551.5799087295309	334.70114378258586	305	311.14147016592324	535.5419070227072	308	262.90298929961864	617.2393479547463	413	200.93231575447135	693.207294435706
YAL031C	1339	1406.7012863480486	2105.8541226095986	1571	1290.349257917027	3896.245988169685	1660	909.0680986095686	3847.3196920845658	1251	1478.6653579296544	2642.744447783334	1634	1476.2086492013186	3190.299646120984	1295	1457.2337121178862	3038.716789931059	1509	567.556510346476	3188.7535544042476
YAL002W	2375	1584.4296746769687	8324.585791543359	2767	1768.6579931112938	9475.738598421449	3143	1147.251879904652	12721.561812034342	2546	2677.0490684267133	7412.235746685183	3082	2175.248956622556	9616.80253039347	2630	1858.3485586493043	9670.083117957693	3174	1076.9972124439664	12593.265848915325
YAR031W	38.0542	50.4194009443745	15.20472290692851	48.2838	61.445202757953666	59.81079367804341	76.5037	49.62162110314239	54.44320318987593	56.4873	120.3773742178455	76.70234545017593	55.3414	45.23201989196241	61.204789374023676	49.7726	70.60823141189758	15.826649947557598	60.583	33.38567707920447	53.91612290055491
YBL075C	718	727.2998586226022	661.4054464513902	830	798.7876358533977	683.5519277490675	915	610.6767503760057	1025.34699340933	758	1318.7610847149044	641.5105255832896	1025	1433.717963848263	765.059867175296	786	950.9576698666206	656.8059728236403	893	493.3661168371327	816.4441467798315
YBL063W	825	848.306420889101	1566.0864594136365	1365	1286.7348342253827	2939.2732893209904	1561	977.8767465392593	3448.069535358809	1157	1970.9549181638286	1910.5856957589276	1337	1428.2352947704494	2012.1074506710283	1276	1804.2656579933828	2698.4438160585705	1703	556.4279513200745	2572.56929268362
YBL051C	7661	8365.83910169534	3421.0626540589146	9124	10872.186464466155	6220.322542516515	10646	6857.708036454278	7513.162040202878	8560	13266.664645142853	4950.7877517840825	10073	11232.618273170665	6503.008870990016	9565	13394.53172911657	5412.714282064699	10968	6319.166767158313	6955.179854171583
